title,date_published,author_name
Mandatory Paid Sick Time: Economically Destructive because Morally Wrong,2014-04-25,Michael A. LaFerrara
Obama Administration Continues to Thwart the Keystone XL Project,2014-04-24,David Biederman
Death by Faith: The Venomous Consequences of Religious Irrationality,2014-04-24,Natalie Ogle
Aristotle Versus Religion,2014-02-21,Andrew Bernstein
"Review: The Conscience of the Constitution, by Timothy Sandefur",2014-02-21,Slade Mendenhall
"From the Editor, Spring 2014",2014-02-21,Craig Biddle
"Review: Free Market Economics, by Steven Kates",2014-02-21,Richard M. Salsman
Olympic Skater Katarina Witt: “The Most Beautiful Face” of a Grotesque System,2014-02-12,Joseph Kellard
Answering Sam Harris’s “Moral Landscape Challenge”,2014-02-09,Ari Armstrong
Milton Wolf’s PatientCare: A Sensible Alternative to ObamaCare,2014-02-06,Michael A. LaFerrara
Who is Ayn Rand?,2014-02-05,Craig Biddle
What is Objectivism?,2014-02-05,Craig Biddle
Super Bowl Celebrates America,2014-02-03,Ari Armstrong
Keep the Taxman Off the NFL,2014-02-02,Ari Armstrong
Obama’s SOTU Address Calls for “Equality” at the Expense of Rights,2014-01-29,Ari Armstrong
Fracking Fuels Post-2008 U.S. Industrial Recovery; Regulation Strangles EU Competitors,2014-01-28,David Biederman
Celebrating Mozart’s Music on His Birthday,2014-01-27,Robert Begley
Portable Ultrasound: “The Stethoscope of the 21st Century”,2014-01-26,Christopher Michael Speciale
Conservatives Concede Moral Premises of Welfare State,2014-01-25,Stephen Bourque
Duck Quacks Don’t Echo: A Fun New Show About Scientific Facts,2014-01-22,Craig Biddle
“Dr. King Ended the Terror of Living in the South”,2014-01-20,Ari Armstrong
Benghazi Atrocity Illustrates America’s Continued Unwillingness to End Islamic Threat,2014-01-18,Ari Armstrong
Homeschoolers in Ohio and New Jersey Defeat Rights-Violating Laws,2014-01-14,Michael A. LaFerrara
John Cisna’s All-McDonald’s Diet Illustrates Importance of Choice,2014-01-13,David H. Mirman
Celebrating Alexander Hamilton’s Achievements on His Birthday,2014-01-11,Robert Begley
Basic Moral Theories Essentialized,2014-01-10,Craig Biddle
Why Dick Durbin and the GOP should Pick Up Ayn Rand’s Books,2014-01-09,Ari Armstrong
Government Unemployment “Insurance” Isn’t Insurance; It’s Force,2014-01-08,Ari Armstrong
"With Assault on Horse-Drawn Carriages, Mayor de Blasio Follows Rights-Violating Bloomberg",2014-01-06,Stephen Bourque
U.S. Fracking Attracts Massive Foreign Investments,2014-01-05,David Biederman
ObamaCare Contraception Mandate Violates Rights of Non-Religious Too,2014-01-03,Ari Armstrong
Peter Thiel’s Fellowship Cultivates the Entrepreneurial Spirit,2013-12-31,Robert Begley
Fracking Massively Fuels Growth in U.S. Chemical and Manufacturing Industries,2013-12-29,David Biederman
A Pretend “War Against Christianity”,2013-12-28,Natalie Ogle
"Gene Therapy Scientists Play God, Attack Cancer, Win",2013-12-27,Michael A. LaFerrara
$38 Tablet Shows Beauty of Capitalism,2013-12-26,Ari Armstrong
"Government Isn’t Santa, Naughty Isn’t Nice",2013-12-23,Ari Armstrong
"Biotech Revolution Could Save Your Life, but Needs Freedom to Do So",2013-12-22,Michael A. LaFerrara
Teen Inventor Kelvin Doe Exemplifies Active Mind,2013-12-20,Derrick Nantz
Duck Dynasty Star Invoked the Bible—That’s the Problem,2013-12-19,Ari Armstrong
Why Does Salon Lie about Ayn Rand’s Ideas?,2013-12-18,Ari Armstrong
Celebrating the Historic Roots of Today’s Tea Party Movement,2013-12-16,Robert Begley
A New Era of Skyscrapers in New York City,2013-12-15,Joseph Kellard
"South Africa Needs Another Revolution, This Time for Individual Rights",2013-12-14,Ari Armstrong
The Rich Pay 106 Percent of Income Taxes—and Should Pay None,2013-12-13,Ari Armstrong
Frackers Double Texas Oil Production,2013-12-10,David Biederman
Help TOS Defend Your Values,2013-12-08,Craig Biddle
"Contra ObamaCare Supporter, a Civilized Society Bans Coercion",2013-12-05,Ari Armstrong
"Thank You, Frackers, For Keeping Me from Freezing",2013-12-05,Ari Armstrong
Frackers Heroically Draw Enormous Wealth from the Ground,2013-12-04,David Biederman
Voters Have No Right to Violate Right to Frack,2013-12-02,Ari Armstrong
The Right to Trade on a Holiday,2013-12-01,Chak Kakani
Charter School Charity Snafu Illustrates Pitfalls of Government Funding,2013-12-01,Ari Armstrong
Recycling Worthless Garbage Is Immoral,2013-11-26,Ari Armstrong
Biblically Motivated Child Abuse,2013-11-25,Natalie Ogle
Evacuation Day: The Denouement of the American Victory for Independence,2013-11-24,Robert Begley
"Contra Critics, New Hunger Games Film Promotes Positive Values",2013-11-23,Ari Armstrong
"Thomas Sowell, Richie Parker, and the Left’s War Against Achievement",2013-11-22,Robert Begley
The Nation Advertises Ayn Rand’s Atlas Shrugged,2013-11-21,Ari Armstrong
"Review: The Beautiful Tree, by James Tooley",2013-11-20,Kevin Douglas
Education in a Free Society,2013-11-20,C. Bradley Thompson
Libertarianism vs. Radical Capitalism,2013-11-20,Craig Biddle
Amy Morin and Cheryl Conner: Mentally Strong People Offering Excellent Practical Advice,2013-11-20,Craig Biddle
Louis Pasteur: A Light That Brightens More and More,2013-11-20,Ross England
Former Buckyballs CEO Zucker Files Suit against Abusive Agency,2013-11-20,Ari Armstrong
What’s Your Best Line Exposing the Evil of ObamaCare?,2013-11-18,Ari Armstrong
Libertarians Fiddle while Rome Burns,2013-11-17,Craig Biddle
Obama’s Answer to How Health Insurers Will Adjust to His Whim: Somehow,2013-11-15,Ari Armstrong
ObamaCare Ads Tout Keg Mishaps and Promiscuous Sex; Ignore Rights Violations,2013-11-14,Ari Armstrong
"Farm Subsidies Are Wrong, Regardless of Recipients’ Wealth",2013-11-13,Ari Armstrong
To the Heroes Who Defend Civilized Society,2013-11-11,Craig Biddle
New Jersey Voters Elect to Violate Rights and Harm the Poor,2013-11-11,Michael A. LaFerrara
Venezuela’s Maduro Apes Villains of Atlas Shrugged in “Organized Looting”,2013-11-10,Ari Armstrong
"Prior to Concierge Medicine, My Access to Health Care Was Inferior to that of My Cat",2013-11-09,Ari Armstrong
Ayn Rand’s Reality-Based Philosophy vs. Cass Sunstein’s Fantasy,2013-11-08,Ari Armstrong
The Left’s ObamaCare Circus,2013-11-06,Ari Armstrong
Shark Tank Celebrates Individualism and Capitalism,2013-11-05,Joseph Kellard
America Descends into Mutual Plunder (but Doesn’t Have To),2013-11-05,Ari Armstrong
A Peek at the Forthcoming Issue of TOS,2013-11-03,Craig Biddle
Coloradans Should Kill Fracking Ban for Right Reason,2013-11-01,David Biederman
Monsters University and the Virtue of Perseverance,2013-10-30,Ari Armstrong
Obama’s Audacity of Deceit,2013-10-29,Ari Armstrong
$17 Trillion Debt a Consequence of Rights Violations,2013-10-28,Ari Armstrong
Sheldon Adelson Admirably Calls for America to Drop a Nuclear Bomb on Iran,2013-10-27,Craig Biddle
Canadian Anti-Fracking Activists “Peacefully” Hurl Firebombs at Police,2013-10-27,David Biederman
Saudis Fight for Women’s Right to Drive,2013-10-26,Natalie Ogle
"Obama, Goose, and Gander",2013-10-25,Michael A. LaFerrara
ObamaCare Surprises and Brother’s Keepers,2013-10-24,Ari Armstrong
ObamaCare “Exchanges” Are Not Markets,2013-10-23,Ari Armstrong
Surprise! Construction Slows as Government Violates Rights,2013-10-22,Ari Armstrong
"Lithuanian Government “Muzzles” Chevron, Opts for Teeth of Russia",2013-10-22,David Biederman
Can You Tell the Difference Between Modern “Art” and Toddler Art?,2013-10-21,Ari Armstrong
Pat Robertson and His Creed: Devourers in Need of Rebuke,2013-10-20,Natalie Ogle
Designers Craft Innovative Gown Using 3D Printing,2013-10-18,Earl Parson
ObamaCare: “What the Hell Kind of Reform Is This?”,2013-10-18,Ari Armstrong
Government Shut Down and All I Got Was this Blog Post,2013-10-17,Ari Armstrong
British Scientists Achieve Breakthrough in Alzheimer’s Research,2013-10-16,Ari Armstrong
Egalitarian Call to Abolish Private Schools is Morally Obscene and Economically Absurd,2013-10-15,Michael A. LaFerrara
Food Stampede Illustrates Depravity of “Welfare”,2013-10-14,Ari Armstrong
“You Can Become Whomever You Want to Be”,2013-10-13,Ari Armstrong
Craig Zucker Has the Balls to Fight Government Abuse,2013-10-12,Ari Armstrong
Get Government Out of Beer,2013-10-11,Ari Armstrong
"In Attacking Malala Yousafzai, Taliban Assault the Mind",2013-10-10,Ari Armstrong
"American Frackers May Soon Power Japan, Too",2013-10-09,David Biederman
ObamaCare Supporter: “I Didn’t Realize I Would Pay for It Personally”,2013-10-08,Ari Armstrong
Feds Intentionally Inflict Pain in Park Shutdowns; Solution is to Privatize Parks,2013-10-07,Ari Armstrong
Kenneth Buck Admirably Protects Rights Despite Colorado Law,2013-10-06,Ari Armstrong
Planned Parenthood and Others Admirably Fight Texas Anti-Abortion Bill,2013-10-04,Ross England
Institute for Justice Wins Battles for Free Speech,2013-10-04,Ari Armstrong
"U.S. Government Assaults a Supermarket, Institute for Justice Defends It",2013-10-03,Kevin Douglas
Interview with Jeff Britting on Ayn Rand’s Anthem Off-Broadway,2013-10-02,Robert Begley
Toward a Shutdown to Celebrate,2013-10-01,Ari Armstrong
"Under ObamaCare, “The Doctor Can’t See You Now”",2013-09-30,Ari Armstrong
"To Find “False Religion,” E. W. Jackson Should Look in the Mirror",2013-09-29,Ari Armstrong
Tiny Tile Promises to Find Your Lost Keys or Lost Child for You,2013-09-28,Ari Armstrong
The Devil Is in the Mysticism,2013-09-27,Ari Armstrong
Some Entrepreneurial Immigrants Succeed Despite Rights-Violating Laws,2013-09-26,Kevin Douglas
Ted Cruz and Atlas Shrugged Against ObamaCare,2013-09-25,Ari Armstrong
"Republicans Make Trivial Cuts to Food Stamp Program, Refuse to Identify Its Immorality",2013-09-22,Michael A. LaFerrara
IRS Targeted Groups over “Anti-Obama Rhetoric”—As Enabled by Bad Laws,2013-09-20,Ari Armstrong
"In Response to Navy Yard Massacre, Government Should Focus Exclusively on Protecting Rights",2013-09-19,Ari Armstrong
New Yorkers Deemed Criminals for (Gasp!) Serving Dinner for a Fee,2013-09-17,Ari Armstrong
Rolling Stone Smears Defenders of Fossil Fuels,2013-09-16,Ari Armstrong
Allan Gotthelf: “Ambassador for Ayn Rand’s Philosophy of Objectivism”,2013-09-15,Robert Begley
Helium-Lifted Craft and Other Advances Promise Better Living and Spiritual Fuel,2013-09-15,Ari Armstrong
"Jonathan Hoenig and Wayne Rogers: Regarding Syria, Americans Should Be Selfish",2013-09-14,Ari Armstrong
"The Keystone XL Pipeline, Anti-Technology Zealots, and Why Oil (and Everything) Costs More Than it Should",2013-09-13,David Biederman
Spock’s Illogic: “The Needs of the Many Outweigh the Needs of the Few”,2013-09-12,Ari Armstrong
War on Syria is Not the Means to Credibility and Security; War on Iran Is,2013-09-10,Ari Armstrong
Obama Administration’s Foreign Policy: Intentionally Ineffective,2013-09-09,Ari Armstrong
Government Extorts Money from Ebook Publishers; You Can Refuse to Participate,2013-09-08,Ari Armstrong
Pawn Stars and the Beauty of Capitalism,2013-09-07,Kevin Douglas
"Koni Dole: Loses a Leg, Shines in Football Anyway",2013-09-05,Michael A. LaFerrara
America’s Cup Showcases Mental and Physical Excellence,2013-08-31,Jason Letman
"Antitrust Assault on Halliburton, Baker Hughes, and Schlumberger is Obscene",2013-08-30,David Biederman
“I Have a Dream”: Martin Luther King Urges Consistency to Founding Principles,2013-08-28,Michael A. LaFerrara
Assad’s “Moral Obscenity” Does Not Justify Obscenity of Sacrificial Military Intervention,2013-08-27,Ari Armstrong
T. J. Rodgers Defends Wealth Creators Against Purveyors of Envy,2013-08-25,Robert Begley
"Peter Dinklage: “I Hate that Word, ‘Lucky’”",2013-08-24,Ari Armstrong
Britain’s Admirable Efforts toward Clear Language in Politics,2013-08-23,Slade Mendenhall
Frackers Generate Greatest Annual Increase in U.S. Oil Reserves Ever,2013-08-22,David Biederman
"Dr. Josh Umbehr Explains How to Get Quality, Economical Health Care and Undermine ObamaCare",2013-08-20,Ari Armstrong
Dr. Josh Umbehr on the Concierge Medicine Revolution,2013-08-20,Ari Armstrong
Review: Star Trek: The Original Films,2013-08-20,Ari Armstrong
"From the Editor, Fall 2013",2013-08-20,Craig Biddle
"Review: Living Proof, by Kira Peikoff",2013-08-20,Mikayla Callen
"Nuclear Energy: The Safe, Clean, Cost-Effective Alternative",2013-08-20,Thomas J. Eiden
The Roots of the IRS Scandal,2013-08-20,Steve Simpson
Introduction to the Fall 2013 issue of The Objective Standard,2013-08-18,Craig Biddle
George Will: A Conservative “None” in Need of Ayn Rand’s Theory of Rights,2013-08-17,Stephen Bourque
NSA Domestic Spy Program Clearly Violates Citizens’ Rights,2013-08-16,Ari Armstrong
Harry Reid Confesses Truth About ObamaCare,2013-08-15,Ari Armstrong
The Solution to “Adverse-Selection” in Health Insurance is Selfish-Selection,2013-08-13,Stephen Bourque
How Detroit Became Starnesville from Ayn Rand’s Atlas Shrugged,2013-08-12,Zachary Huffman
BYU Engineers Develop Promising Spinal Disc Replacement,2013-08-11,Derrick Nantz
Praise Stem-Cell Burgers for Benefit to People Not “Environment”,2013-08-10,Slade Mendenhall
Europa Report Offers Fine Cinematic Sci-Fi but Vile Moral Premises,2013-08-09,Ari Armstrong
Newark Seeks to Use Eminent Domain to Extort Principal Reductions from Lenders,2013-08-08,Michael A. LaFerrara
Judge Preposterously Seeks to Forbid Uber Car Service from Using iPhones,2013-08-07,Ari Armstrong
Sony’s Video Headsets Radically Improve Surgeons’ Ability to See Inside Patients,2013-08-06,Derrick Nantz
Profit-driven Engineers Create Robots that Save Lives,2013-08-05,Adam Jensen
Kudos to Scientists Improving Animal Organs for Use in Humans,2013-08-04,Derrick Nantz
Alex Epstein Exposes Josh Fox’s Gasland II as Anti-All Technology,2013-08-02,Ari Armstrong
Obama’s “Big” Statist Vision for America,2013-08-01,Michael A. LaFerrara
America Doesn’t Need a “Nudge Squad”; It Needs a Rights Squad,2013-07-31,Ari Armstrong
General McChrystal’s Un-American Call for Universal National Service,2013-07-31,Michael A. LaFerrara
Government Should Not Subsidize Junk Food or Health Food but End All Subsidies,2013-07-29,Michael A. LaFerrara
"Ralph Peters: “Mesmerized by Elections, We Forgot Freedom”",2013-07-28,Michael A. LaFerrara
London Mayor Warns of Energy Scarcity; an American Revolution Offers a Solution,2013-07-28,David Biederman
Public School Teacher Admirably Denounces Government-Run Education,2013-07-27,Derrick Nantz
"Coal Keeps The Lights On—Thank You, Jimmy Rose",2013-07-26,David Biederman
Rolling Stone Should Sink Like a Rock for its Sympathy for Islamic Terrorist,2013-07-25,Robert Begley
Why the Obama Administration is Persecuting George Zimmerman,2013-07-24,Ari Armstrong
Freedom and Fracking Lead To Record Increase in U.S. Oil Production,2013-07-23,David Biederman
Senator Menendez Dishonestly Equates Private Food Bank with SNAP,2013-07-22,Michael A. LaFerrara
"France Forbids Shale Gas Exploration, Will “Prosper” Accordingly",2013-07-21,David Biederman
Neil Armstrong Demonstrated Man at His Best,2013-07-20,Robert Begley
Fine for Scorning Italy Illustrates that Scorn is Warranted,2013-07-19,Bruno Turner Oggioni
Jonathan Hoenig and The Objective Standard—Lawbreakers No More,2013-07-17,Ari Armstrong
Pat Robertson: “The Bible Didn’t Talk About Civil Rights”,2013-07-15,Natalie Ogle
U.S. Employment Suffers from Washington’s War on Rights,2013-07-14,Zachary Huffman
Eagle Ford Shale Oilmen Increase Productivity by 54 Percent,2013-07-13,David Biederman
Scientists at Riken BioResource Center Make Major Leap in Life-Serving Cloning Technology,2013-07-12,Derrick Nantz
Freedom Of Religion Demands Freedom From Religion,2013-07-11,Michael A. LaFerrara
Twelve-Year-Old Egyptian Condemns Muslim Brotherhood; Video Goes Viral,2013-07-10,Bruno Turner Oggioni
Death by Prayer: Christian Fundamentalist Parents Denied Their Children Medicine and Watched Them Die,2013-07-07,Natalie Ogle
Toast the Re-Legalization of Homebrewing,2013-07-06,Ari Armstrong
Celebrating Dolly’s Birthday: Advancements in Cloning Technology,2013-07-05,Mikayla Callen
Don’t Delay ObamaCare—End It,2013-07-03,Ari Armstrong
ObamaCare Propaganda in L.A. School District Shows Corruption of Public Education,2013-07-01,Derrick Nantz
Fracking Could Unlock 40 Years of Gas in the UK,2013-06-30,David Biederman
"With DOMA Decision, Supreme Court Correctly Recognizes Legal Equality of Gay Couples",2013-06-26,Ari Armstrong
The Boston Tea Party Opera: An Ode to the Spirit of American Independence,2013-06-25,Robert Begley
We Already Have a “Media Shield”: The First Amendment,2013-06-22,Ari Armstrong
Scientists Advance Toward Genetically Perfect Replacements for Diseased Cells,2013-06-16,Michael A. LaFerrara
Shale Gas Is Plentiful; Freedom to Produce It Is Not,2013-06-14,David Biederman
Cambridge Scientists Dramatically Advance Battle Against Infectious Disease,2013-06-11,Ari Armstrong
Fox News Defends Free Speech with Moral Clarity,2013-06-10,Robert Begley
Quent Cordair Offers a Philosophical Detection Story in “The Match”,2013-06-09,Ari Armstrong
Our Spectacularly Improving World,2013-06-08,Ari Armstrong
“A Born Free American Woman” Tells Government “You’ve Forgotten Your Place”,2013-06-06,Ari Armstrong
"Dr. Jane Wright Has Died, But Her Work Will Forever Save Lives",2013-06-03,Roberto Sarrionandia
Will TN U.S. Attorney William Killian Clarify that Individuals Have a Right to Criticize Islam?,2013-06-03,Ari Armstrong
Investment in Fracking Results in Dramatic Production Growth Across Seven States,2013-05-31,David Biederman
De-Extinction Holds Great Promise,2013-05-30,Mikayla Callen
Designers Use 3D Printing for Beautiful Prosthetics and Space Food,2013-05-29,Ari Armstrong
Recognition of Property Rights is the Key to Bakken Development,2013-05-29,David Biederman
"Zach Sobiech, Victim of Cancer, Lover of Life",2013-05-28,Ari Armstrong
Innovative Doctors Save Infant’s Life with 3D Printing,2013-05-26,Ari Armstrong
"Review: The DIM Hypothesis: Why the Lights of the West Are Going Out, by Leonard Peikoff",2013-05-20,Ari Armstrong
The Is-Altruism Dichotomy,2013-05-20,Craig Biddle
"The End of Central Banking, Part II",2013-05-20,Richard M. Salsman
Committee for Justice Fights for Free Speech via Property Rights,2013-05-20,Ari Armstrong
New Prototype Shows Promise in Medical Diagnostic Imaging,2013-05-19,Daniel Burritt
IRS Violates Americans’ Rights Every Day,2013-05-15,Ari Armstrong
Gosnell Justly Convicted for Grisly Murders,2013-05-14,Ari Armstrong
"Benghazi Assault Was a Moral Atrocity, Not a “Sideshow”",2013-05-13,Ari Armstrong
Is Your State in an Economic Rut? North Dakota has the Solution,2013-05-10,David Biederman
Thank Industry for Protecting Us From Nature,2013-05-09,Roberto Sarrionandia
Judge Narragansett’s Solution to Congress’s Shady Trading,2013-05-07,Robert Begley
"Good News Abounds: Space Tourism, Medical Marvels, and More",2013-05-06,Ari Armstrong
Penny Nance’s Strange Bedfellows,2013-05-05,Ari Armstrong
Latest Lesson from the Sequester: It’s Time to Privatize Air Traffic Control,2013-05-04,Zachary Huffman
Estimated Oil in the Bakken Region Doubles,2013-05-04,David Biederman
Louis C.K. Schools David Itzkoff on the Cause of Success,2013-05-03,Daniel Wahl
The “Marketplace Fairness Act”: A Morally Unacceptable Gimmick,2013-05-02,Michael A. LaFerrara
Pope Absurdly Blames Unemployment on Profit,2013-05-02,Ari Armstrong
"Think You Have Health Insurance? Think Again, Explains Beth Haynes",2013-05-01,Ari Armstrong
"Portrait of Joshua Lipana, by Bryan Larsen",2013-04-30,Craig Biddle
“Attack Countermeasures” Video Shows How Not to Be a Victim,2013-04-28,Ari Armstrong
Jonathan Hoenig Calls for Return to Americanism,2013-04-27,Daniel Wahl
Denmark’s Economic Problem is Fundamentally a Moral Problem,2013-04-26,Daniel Burritt
FCC’s Leniency on Ortiz’s F-word Highlights Ominous Power,2013-04-25,Stephen Bourque
Hunt for Boston Marathon Terrorists Demonstrates Absurdity of Anarchy,2013-04-23,Jawaid Bazyar
An Ingenious Invention to Treat Chronic Heartburn,2013-04-22,David H. Mirman
Joshua Lipana Fought Until He Could Fight No More,2013-04-22,Craig Biddle
42: The Triumph of Courage and Moral Certitude over Irrationality and Bigotry,2013-04-20,Michael A. LaFerrara
Why Capitalism is Moral,2013-04-19,Craig Biddle
Initial Thoughts on the Boston Marathon Assault,2013-04-16,Stephen Bourque
"Swiss Scientists Create Wireless Implant to Monitor Blood Sugar, Heart Problems, and More in Real Time",2013-04-15,Derrick Nantz
3D Metal Printing Revolution Makes Possible the “Impossible”,2013-04-14,Ari Armstrong
"Happy Birthday, Thomas Jefferson—and Thank You for Your Moral Endurance",2013-04-13,Craig Biddle
States Pass Rights-Violating Abortion Restrictions,2013-04-11,Ari Armstrong
"Robert Edwards, Creator of Life, Has Died",2013-04-11,Roberto Sarrionandia
"Alex Epstein Visits Vassar: Some Students Learn, Others Disrupt",2013-04-10,Robert Begley
Margaret Thatcher: Warrior for Liberty,2013-04-09,Ari Armstrong
"Why ""Sacrifice"" Means Loss, Not Gain",2013-04-06,Craig Biddle
"Contra Linda Chavez, Supreme Court Should Recognize Gay Marriage as a Right",2013-04-05,Michael A. LaFerrara
Stockton Ain’t All that’s Bankrupt,2013-04-04,Ari Armstrong
Fracking in South Texas Generates $61 Billion Annually in Economic Activity,2013-04-02,David Biederman
Bionic Eye—Not a Miracle,2013-04-01,Ari Armstrong
"As Some Filipinos Try to Die, One Tries to Live",2013-03-30,Ari Armstrong
"Contra Michael Tanner, Government’s Size is Not the Proper Focus for Advocates of Liberty",2013-03-25,Ari Armstrong
Fracking and Frackers Continue Expanding Oil Production,2013-03-24,David Biederman
Institute for Justice Continues Fight against Occupational Licensure,2013-03-24,Michael A. LaFerrara
"With Budget Plan, Senate Would Increase Rights Violations, Economic Destruction",2013-03-23,Ari Armstrong
The Real Purpose of Central Banks,2013-03-22,Ari Armstrong
"With Abortion Ban Proposal, Rand Paul Assaults Rights and Aids Democrats",2013-03-22,Ari Armstrong
"Cyprus Rejects One Form of Theft, Leaves Others Intact",2013-03-20,Ari Armstrong
“Resolution Revolution” Makes Self-Improvement Inevitable,2013-03-17,Ross England
"Contra Joseph Levine, Israel is a Legitimate State (the Only One in the Region)",2013-03-14,Joseph England
BP Right to Move Forward with Petroleum,2013-03-13,David Biederman
Judge Properly Tosses New York City Soda Ban,2013-03-11,Ari Armstrong
More Evidence of the Failure of Government Schools (and the Solution),2013-03-08,Ari Armstrong
"Education Activist Michelle Rhee is Courageous, but No “Radical”",2013-03-06,Michael A. LaFerrara
Subway Founder Fred Deluca Decries the Regulatory State,2013-03-05,Joshua Lipana
The Fruits of Capitalism Are All Around Us,2013-03-03,Ari Armstrong
A 15-Year-Old Boy and Your Future,2013-03-02,Howard Roerig
"Before There Was Amazon, There Was the Sears Catalog",2013-02-28,Ari Armstrong
Scientists Generate Electricity from Coal Without Burning It,2013-02-27,Howard Roerig
Zero Dark Thirty Actors Bring Attention to Doctor Imprisoned for Helping Kill Bin Laden,2013-02-26,Ari Armstrong
Anne Hathaway’s Hard Work is No Sacrifice,2013-02-25,Ari Armstrong
The Light Brigade Shines for Capitalism,2013-02-24,Joshua Lipana
Government Regulations Hinder Quality Control and Harm Consumers,2013-02-24,Michael A. LaFerrara
Is Africa the Next Beneficiary of the Industrial Revolution?,2013-02-22,Ari Armstrong
"End “Too Big to Fail,” not “Too Big” Banks",2013-02-21,Michael A. LaFerrara
Review: FrackNation,2013-02-20,Earl Parson
"From the Editor, Spring 2013",2013-02-20,Craig Biddle
Why “Big Government” is Not the Problem,2013-02-20,Eric Daniels
The Importance of Protocols for Living Well and Avoiding Problems,2013-02-20,Ari Armstrong
Cheers to Bipartisan Support for Repealing the Medical-Device Tax,2013-02-19,Joshua Lipana
Fetuses Don’t Have Rights; Pregnant Women Do; This Distinction is Crucial,2013-02-17,Ari Armstrong
The State of Obama,2013-02-13,Ari Armstrong
Antitrust Suit against Anheuser-Busch and Grupo Modelo Violates Rights,2013-02-11,Michael A. LaFerrara
PJ Media’s Walter Hudson Previews Bernstein-D’Souza Debate on Christianity,2013-02-08,Ari Armstrong
FIRE Scores Victory for Wrongly Expelled Valdosta State University Student,2013-02-07,Howard Roerig
The Burgeoning Micro-Production Revolution,2013-02-05,Ari Armstrong
To Curse Machines is to Curse the Mind,2013-02-04,Ari Armstrong
Institute for Justice Wins Victory for Tax Preparers,2013-02-02,Ross England
"Condemn Rights-Violating Policies, Not Garlic Smugglers",2013-01-29,Ari Armstrong
EBI Scientists Amazingly Develop DNA Data Storage,2013-01-26,Ross England
Iran’s Growing Influence in Latin America adds to the Already Definitive Reason to Destroy the Regime,2013-01-20,Joshua Lipana
Morsi Unconvincingly Claims His Anti-Semitic Remarks Were “Taken Out of Context”,2013-01-18,Ross England
The Best Teacher Evaluation “Plan” is a Free Market in Education,2013-01-17,Michael A. LaFerrara
E-book Revolution Continues to Improve Our Lives,2013-01-16,Ari Armstrong
Institute for Justice’s Paul Sherman Clarifies Campaign Finance Law vs. Freedom of Speech,2013-01-14,Ross England
FrackNation Defends Revolutionary Energy Technology,2013-01-13,Earl Parson
The Trillion-Dollar Coin: Economic “Solutions” by Lucky Charm,2013-01-13,Ari Armstrong
Pacific Legal Foundation Fights for Rights of Florida Property Owner,2013-01-12,Ari Armstrong
Glenn Reynolds: Home Schooling Will Increasingly Threaten Government Education,2013-01-11,Ross England
"Of Hurricanes, Pork, and Subsidies",2013-01-08,Ari Armstrong
Kudos to the 800 Companies Demanding a Repeal of the Medical-Device Tax,2013-01-06,Joshua Lipana
William Shatner’s Tweet and the Power of Art,2013-01-05,Ari Armstrong
"Nascar and Rum Makers Got Tax Cuts; You Should Have, Too",2013-01-04,Ari Armstrong
Time to Privatize the Weather Satellite Program,2013-01-03,Michael A. LaFerrara
"Senators, Representatives—and Americans Who Voted for Them—to Blame for Increased Spending and Tax Hikes",2013-01-02,Ari Armstrong
Paul Hsieh: “Speak out Against the Government Narrative” on ObamaCare,2012-12-30,Joshua Lipana
Peter Schiff: The Ability to Steal Doesn’t Make Theft Right,2012-12-30,Joshua Lipana
New Technology Promises Electrical Power from Friction,2012-12-29,Ari Armstrong
Instapundit Promotes Brad Thompson’s Article on Abolishing “Public” Education,2012-12-27,Craig Biddle
"Piers Morgan May Not Recognize Rights, but He Has Them",2012-12-26,Ari Armstrong
Relative Freedom Unleashes Global Advances,2012-12-21,Ari Armstrong
How Capitalism Saved the Bees,2012-12-20,Ari Armstrong
"The Flawed (Yet Revealing) Legatum Prosperity Index, and the Path to Prosperity",2012-12-19,Ari Armstrong
Depardieu Justly Condemns France’s Theft by Taxation,2012-12-18,Ari Armstrong
Heroic Researchers Markedly Improve Thought-Controlled Prosthetics for the Severely Paralyzed,2012-12-17,Ross England
It’s a Wonderful Satire (of Government Force),2012-12-16,Ari Armstrong
Time for the Ethics of Organ Donation to Catch Up with the Heroics of Dr. Joseph E. Murray,2012-12-12,Michael A. LaFerrara
Medical Device Tax: Immoral and Impractical,2012-12-10,Joshua Lipana
Duolingo: Making Money By Offering Free Language Lessons,2012-12-09,Ross England
The Moral Cliff,2012-12-07,Ari Armstrong
The Left’s Egalitarian Trap (and Why Republicans Must Not Step In),2012-12-05,Michael A. LaFerrara
Google Deserves Our Gratitude; FTC Deserves Our Condemnation,2012-12-04,Ari Armstrong
MedCottage: An “American Solution” for Eldercare,2012-12-03,Ross England
U.S. President: Let People Keep “Rewards of their Own Industry”,2012-12-02,Ari Armstrong
The NFL: An Analogy for Government’s Proper Role in the Marketplace?,2012-11-29,Michael A. LaFerrara
SpaceX Founder Musk Envisions Mars Colony: Potential Value is Immense,2012-11-28,Ari Armstrong
Stem Cell Research Offers New Hope for Repairing Brain Damage,2012-11-27,Ari Armstrong
Does Reason Support a Carbon Tax?,2012-11-25,Ari Armstrong
The Atlantic Praises Bloomberg’s Tyranny as “Bravery”,2012-11-24,Joshua Shnayer
Walmart Isn’t Forcing Anyone To Work on Thanksgiving,2012-11-21,Ross England
